,Unnamed: 0,Tweet,Date,Username,Hashtags,processedtext,category
12,12,The garbage burning has intensified so much in the last week and the air is almost unbreathable. There was a similar incident last week when someone had called the Fire engine and they had to douse a big fire next to the lake on Harlur Road. Can this be looked into ASAP????,2020-01-31 10:34:05+00:00,siva_kannan,,the garbag burn intensifi much last week air almost unbreath there similar incid last week someon call fire engin dous big fire next lake harlur road can look asap,Waste/Garbage
13,13,Can citizen take it for granted then? There is a limit for patience for not obeying rules or throwing garbage everywhere. If BBMP Karmikhas throw back at our face back what we will do ? When it is somebody they need to but citizens won’t obey anything ? What ideology is this?,2020-01-31 08:36:51+00:00,sai_gopalan,,can citizen take grant there limit patienc obey rule throw garbag everywher if bbmp karmikha throw back face back when somebodi need citizen obey anyth what ideolog,Waste/Garbage
14,14,@BBMP_MAYOR Sir garbage lying on footpath for last one week &amp; garbage van driver refuses to pick up the bags SAYING IT IS NOT GARBAGE as in picture.Loction:Malleswaram 15th crs road between 4th &amp;6th main opposite HVS APARTMENTS.PLEASE HELP ,2020-01-31 07:41:32+00:00,sriniva62856378,,bbmp mayor sir garbag lie footpath last one week amp garbag van driver refus pick bag say it is not garbag pictur loction malleswaram th cr road th amp th main opposit hv apart pleas help,Waste/Garbage
15,15,We need help from BBMP in making this last and neglected ward into garbage free ward.,2020-01-31 06:34:54+00:00,subs_kp,,we need help bbmp make last neglect ward garbag free ward,Waste/Garbage
16,16,"@BBMPCOMM @BBMP_MAYOR @BBMPSWMSplComm @BBMPSWMJtComm ..piles of garbage lying on almost every road, complaints raised on BBMP Sahaya being closed without any action,what do you'll think BBMP can do? One of you visited our area 3 months back, promised action but nothing happened!",2020-01-31 05:57:30+00:00,rajrebba1,,bbmpcomm bbmp mayor bbmpswmsplcomm bbmpswmjtcomm pile garbag lie almost everi road complaint rais bbmp sahaya close without action think bbmp one visit area month back promis action noth happen,Waste/Garbage
17,17,Stats show that blr spends most on garbage disposal in the whole of India.. It's lucrative venture that Bbmp would never want to solve.. Be it fake PKs on rolls or no of garbage trucks.. It's a stinky setup!,2020-01-31 05:33:21+00:00,blrsri,,stat show blr spend garbag dispos whole india it lucr ventur bbmp would never want solv be fake pk roll garbag truck it stinki setup,Waste/Garbage
18,18,"""It’s time to dissolve BBMP"", says Karnataka High Court HC reacts to failure to take measures to stop illegal disposal of garbage ",2020-01-31 04:39:08+00:00,AxPn,,it time dissolv bbmp say karnataka high court hc react failur take measur stop illeg dispos garbag,Waste/Garbage
19,19,Garbage burning at Sarjapur junction. These enclosed sites are frequent place for crime even at a bustling place like sarjapur junction @BBMPCOMM @SwmrtBengaluru @BBMPSWMSplComm Hope bbmp brings a solution to this problem soon. ,2020-01-31 04:36:55+00:00,TrustBangalore,,garbag burn sarjapur junction these enclos site frequent place crime even bustl place like sarjapur junction bbmpcomm swmrtbengaluru bbmpswmsplcomm hope bbmp bring solut problem soon,Waste/Garbage
20,20,#Bengaluru The state government on Thursday informed the Karnataka High Court that it will intervene to ensure scientific disposal of garbage because of the complete failure of the Bruhat Bangalore Mahanagara Palike (BBMP) to do so. @santwana99,2020-01-31 04:10:50+00:00,XpressBengaluru,#Bengaluru,bengaluru the state govern thursday inform karnataka high court interven ensur scientif dispos garbag complet failur bruhat bangalor mahanagara palik bbmp santwana,Waste/Garbage
21,21,"Not just garbage but all other issues city is facing; BBMP alone cannot do anything, they get their orders from Politicians and until we get better political will to resolve any issue we will be in same mess",2020-01-31 03:07:01+00:00,pavitratandon,,not garbag issu citi face bbmp alon cannot anyth get order politician get better polit resolv issu mess,Waste/Garbage
22,22,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,the futur get readi galaxyzfold phone design chang shape futur which featur excit regist http bit ly yqhu b samsung,Waste/Garbage
23,23,The High Court - time to dissolve BBMP as they have failed to address the garbage issues being faced in Bangalore. @THBengaluru,2020-01-31 03:00:37+00:00,WFRising,,the high court time dissolv bbmp fail address garbag issu face bangalor thbengaluru,Waste/Garbage
24,24,Garbage burning continues near Lake in Harlur causing heavy pollution all day and night @BBMP_MAYOR @BbmpJc @BBMPSWMSplComm @BBMPSWMJtComm @SwachhBharatGov @BBMPCOMM,2020-01-31 01:05:44+00:00,OmBansal79,,garbag burn continu near lake harlur caus heavi pollut day night bbmp mayor bbmpjc bbmpswmsplcomm bbmpswmjtcomm swachhbharatgov bbmpcomm,Waste/Garbage
25,25,Seriously sir! This means that maybe you have not stepped out of your home to see the roads and condition of this city. The people who are part of this so called Silicon Valley have to breathe through scarves and masks. There is increasing garbage with pigs feeding on open drains,2020-01-30 18:08:32+00:00,KamleshKalyani,,serious sir thi mean mayb step home see road condit citi the peopl part call silicon valley breath scarv mask there increas garbag pig feed open drain,Waste/Garbage
26,26,This needs immediate attention ! How can they burn garbage 24 hrs ? and that too everyday !This is gross violation of law and pollution control norms. Can we go as a group to the site and douse it and stop this non sense?,2020-01-30 15:56:04+00:00,VivekMalayileth,,thi need immedi attent how burn garbag hr everyday thi gross violat law pollut control norm can go group site dous stop non sens,Waste/Garbage
27,27,@BBMP_MAYOR @BBMPCOMM @ArvindLBJP please take action! Air quality in Harlur has worsened due to daily burning of garbage @kdevforum,2020-01-30 15:10:38+00:00,naveen_va,,bbmp mayor bbmpcomm arvindlbjp pleas take action air qualiti harlur worsen due daili burn garbag kdevforum,Air
28,28,"A check on wall paintings, proper installation of CCTV cameras and deployment of marshals to monitor — was a part of the BBMP’s anti-garbage drive. The drive fails miserably as people continue to throw garbage at undesignated spots.",2020-01-30 15:00:04+00:00,Nikitaarora1508,,a check wall paint proper instal cctv camera deploy marshal monitor part bbmp anti garbag drive the drive fail miser peopl continu throw garbag undesign spot,Waste/Garbage
29,29,"What happens when we drink milk from this cow? Garbage pile up behind Brigade Caladium, Dasarahalli Main Road, Beside Amruthalli Police Station. @BBMPCOMM @BBMPSWMSplComm @BBMPSWMJtComm @BBMP_MAYOR",2020-01-30 13:26:10+00:00,blore_huduga,,what happen drink milk cow garbag pile behind brigad caladium dasarah main road besid amruth polic station bbmpcomm bbmpswmsplcomm bbmpswmjtcomm bbmp mayor,Waste/Garbage
30,30,"Sir, there are enough details in this post you locate that garbage spot. What more? Time to act.",2020-01-30 13:21:14+00:00,ChezAnand,,sir enough detail post locat garbag spot what time act,Waste/Garbage
31,31,@BBMP_MAYOR @BBMPCOMM @BBMPSWMSplComm @Randeep_Dev .....kindly instruct market areas (vegetables &amp; Fruits Vendors)to maintain Garbage segregation in This way,2020-01-30 12:59:48+00:00,BlrDrone,,bbmp mayor bbmpcomm bbmpswmsplcomm randeep dev kindli instruct market area veget amp fruit vendor maintain garbag segreg thi way,Waste/Garbage
32,32,ಬೆಂಗಳೂರಲ್ಲಿ 'ಕಸ'ದ ಕಸಿವಿಸಿ: ಬಿಬಿಎಂಪಿಗೆ ಬೆಂಡೆತ್ತಿ ಬ್ರೇಕ್ ಹಾಕಿದ ಹೈಕೋರ್ಟ್ #Bengaluru #Highcourt #BBMP #Garbage ,2020-01-30 11:59:50+00:00,OneindiaKannada,#Bengaluru #Highcourt #BBMP #Garbage,bengaluru highcourt bbmp garbag,Waste/Garbage
33,33,"Bellandur Road Railway station outskirts have now become a garbage dump, Sir. @RailMinIndia",2020-01-30 10:56:47+00:00,puliyodharai,,bellandur road railway station outskirt becom garbag dump sir railminindia,Waste/Garbage
34,34,"@BBMPCOMM any fine on the garbage contractor, concerned BBMP engineer/health inspector for not clearing garbage? Fine on concerned engineer for not filling potholes n risking public lives? @Randeep_Dev @BBMP_MAYOR @mani1972ias @Nithya_Mandyam @CMofKarnataka",2020-01-30 09:09:29+00:00,nikhil_s23,,bbmpcomm fine garbag contractor concern bbmp engin health inspector clear garbag fine concern engin fill pothol n risk public live randeep dev bbmp mayor mani ia nithya mandyam cmofkarnataka,Waste/Garbage
35,35,"@Tejasvi_Surya btw BBMP also same, garden City to garbage city it reminds of you posting yoga pics, kuch din gujarao Bangalore me.... ",2020-01-30 06:25:14+00:00,singhr07,,tejasvi surya btw bbmp also garden citi garbag citi remind post yoga pic kuch din gujarao bangalor,Waste/Garbage
36,36,Appreciate our Beloved B H Anil Kumar IAS commissioner BBMP Bangalore and Mayor BBMP for their initiative work .But I was posted Garbage dumping place at Someswarna Temple Back side and opp to chithanya Education Institution adgcent to Yelahanka New town and Someshwara Nagar,2020-01-30 05:45:27+00:00,Prakash58503273,,appreci belov b h anil kumar ia commission bbmp bangalor mayor bbmp initi work but i post garbag dump place someswarna templ back side opp chithanya educ institut adgcent yelahanka new town someshwara nagar,Waste/Garbage
37,37,@BBMPSWMJtComm @BBMPCOMM @Randeep_Dev @BBMP_MAYOR whole area around KAGGADASPURA Railway crossing is like this . Garbage dumped in open all over. Please take action. ,2020-01-30 04:47:02+00:00,saurabhsporty,,bbmpswmjtcomm bbmpcomm randeep dev bbmp mayor whole area around kaggadaspura railway cross like garbag dump open pleas take action,Waste/Garbage
38,38,"@BBMP_MAYOR @pushpa_149 @ArvindLBJP @BBMPSWMSplComm @panathurjyothe1 Despite several requests and also citizens efforts, few miscreants dumping all sort of wet and dry garbage at #ParimalaTrinity, Bhoganahalli road. Root cause: No door2door collection by BBMP. Can it be solved? ",2020-01-30 04:41:22+00:00,kanala_k,#ParimalaTrinity,bbmp mayor pushpa arvindlbjp bbmpswmsplcomm panathurjyoth despit sever request also citizen effort miscreant dump sort wet dri garbag parimalatrin bhoganah road root caus no door door collect bbmp can solv,Waste/Garbage
39,39,@BBMPCOMM @BBMP_MAYOR @Randeep_Dev .The entire stretch on outer ring road service road to byapanhalli Is dumped with garbage. Should we really participate in swach bharath survey.Are cleanliness only limited to CBD . Suburbs need attention . Depute clean marshals,2020-01-30 04:24:06+00:00,ASHAKKUMAR1,,bbmpcomm bbmp mayor randeep dev the entir stretch outer ring road servic road byapanh is dump garbag should realli particip swach bharath survey are cleanli limit cbd suburb need attent deput clean marshal,Waste/Garbage
40,40,"@BBMPSWMSplComm @BBMPCOMM @BBMP_MAYOR @timesofindia ward no. 172, near Sandhya theatre the pourakarmikas dump waste in vacant site has complained many times but no use #SS2020 #garbage #bbmp #SwachhSurvekshan #swachbharath",2020-01-30 03:38:40+00:00,raviroyalaseema,#SS2020 #garbage #bbmp #SwachhSurvekshan #swachbharath,bbmpswmsplcomm bbmpcomm bbmp mayor timesofindia ward near sandhya theatr pourakarmika dump wast vacant site complain mani time use ss garbag bbmp swachhsurvekshan swachbharath,Waste/Garbage
41,41,"@BBMPSWMSplComm @BBMPCOMM @BBMP_MAYOR @timesofindia ward no. 172, near Sandhya theatre the pourakarmikas dump waste in vacant site has complained many times but no use #SS2020 #garbage #bbmp #SwachhSurvekshan #swachbharath",2020-01-30 03:32:21+00:00,raviroyalaseema,#SS2020 #garbage #bbmp #SwachhSurvekshan #swachbharath,bbmpswmsplcomm bbmpcomm bbmp mayor timesofindia ward near sandhya theatr pourakarmika dump wast vacant site complain mani time use ss garbag bbmp swachhsurvekshan swachbharath,Waste/Garbage
42,42,The Garbage Burning saga continues on NICE Road .. clouding the road. – at White Feathers,2020-01-30 03:07:42+00:00,SUBHENDU_3D,,the garbag burn saga continu nice road cloud road white feather,Waste/Garbage
43,43,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,the futur get readi galaxyzfold phone design chang shape futur which featur excit regist http bit ly yqhu b samsung,Waste/Garbage
44,44,The officer marked two of the issues as 'RESOLVED' without even checking. I've had to reopen both and plead him to come check the garbage dump. He told he would but I don't if he did. Please help!,2020-01-30 03:03:54+00:00,ravitejalolla,,the offic mark two issu resolv without even check i reopen plead come check garbag dump he told would i pleas help,Waste/Garbage
45,45,@RAshokaBJP @CMofKarnataka please save 50 acre Kacharakanahalli Lake from Encroachment. The lake is being filled with construction debris and garbage. @BBMP_MAYOR @BBMPCOMM,2020-01-30 02:40:46+00:00,kiranmsj,,rashokabjp cmofkarnataka pleas save acr kacharakanah lake encroach the lake fill construct debri garbag bbmp mayor bbmpcomm,Waste/Garbage
46,46,"The best part is even concerned authorities are clueless on the traffic mess & there is no plan in near horizon on how to improve the situation #garbage clearance, #Traffic management &amp; #water supply are the stumbling blocks for #Bengaluru #BBMP",2020-01-30 02:05:32+00:00,ranjalrajesh,#garbage #Traffic #water #Bengaluru #BBMP,the best part even concern author clueless traffic mess plan near horizon improv situat garbag clearanc traffic manag amp water suppli stumbl block bengaluru bbmp,Waste/Garbage
47,47,I wish @BBMPCOMM @BBMPSWMSplComm @BBMPSWMJtComm @BBMP_MAYOR take classes from Indore Municipal Corporation on how to handle Bengaluru's garbage problem. ,2020-01-29 19:38:36+00:00,mdbscorpio,,i wish bbmpcomm bbmpswmsplcomm bbmpswmjtcomm bbmp mayor take class indor municip corpor handl bengaluru garbag problem,Waste/Garbage
48,48,"Sir, most of the garbage is cleared, but after few weeks the same problem will resurface, today i saw a person dumping huge pile of garbage at the same location. Vehicle No:KA05KD4959, @btppubliceye can you pls book for not wearing helmet(driver+pillion)",2020-01-29 18:07:07+00:00,Lokesh_Raghaven,,sir garbag clear week problem resurfac today saw person dump huge pile garbag locat vehicl no ka kd btppublicey pl book wear helmet driver pillion,Waste/Garbage
49,49,"@BBMPCOMM @BBMP_MAYOR #BBMP Hello sir, no lights inside singasandra subway, ppl r urinating, throwing garbage inside. it is frightening to walk inside. Anything can happen. Not sure whom to highlight. so tweeting",2020-01-29 17:26:47+00:00,tweet_amaresh,#BBMP,bbmpcomm bbmp mayor bbmp hello sir light insid singasandra subway ppl r urin throw garbag insid frighten walk insid anyth happen not sure highlight tweet,Waste/Garbage
50,50,"Wasteful stunts !!. The city is full of dust/ dirt & garbage !!. The High Court has pulled up the Commissioner on several occassions, but this guy continues for obvious reasons!!.",2020-01-29 16:47:53+00:00,AnilNai49148368,,wast stunt the citi full dust dirt garbag the high court pull commission sever occass guy continu obviou reason,Waste/Garbage
51,51,"Couldn't agree more! Blame on the govt side is only about 10%. remaining 90% is on the side of citizens. Just an example, BBMP do send garbage vans to each house in the city. But some (most?) people still prefer to litter on the streets :(.",2020-01-29 13:49:25+00:00,sbuvaneshkumar,,couldn agre blame govt side remain side citizen just exampl bbmp send garbag van hous citi but peopl still prefer litter street,Waste/Garbage
52,52,"But who will clean Croma road, Panathur (old railway station road) near Insight academy school?? Garbage dumping and burning happening daily.. Ward no. 149/150 @BBMPCOMM @ArvindLBJP – at Pranava Group",2020-01-29 11:44:32+00:00,namitvirmani,,but clean croma road panathur old railway station road near insight academi school garbag dump burn happen daili ward bbmpcomm arvindlbjp pranava group,Waste/Garbage
53,53,.@BBMPCOMM this BBMP garbage rickshaw is always parked in front of our house at Udayanagar 2nd cross in Uttarahalli &amp; repeatedly the driver does not care. I am sure that the BBMP can find a better place for these garbage contractors to park such vehicles. ,2020-01-29 11:25:46+00:00,vishalskrishna,,bbmpcomm bbmp garbag rickshaw alway park front hous udayanagar nd cross uttarah amp repeatedli driver care i sure bbmp find better place garbag contractor park vehicl,Waste/Garbage
54,54,BBMP garbage trucks to get a wash after trips to landfills | Bengaluru News - Times of India ,2020-01-29 11:18:14+00:00,bangalore,,bbmp garbag truck get wash trip landfil bengaluru new time india,Waste/Garbage
55,55,@BBMP_MAYOR initiate global tender for collection and management of garbage in BBMP limit by inviting renowned global joints as pilot basis for 2 or 3 years than BBMP will save crores of expenditure and city will be cleaner will jump several points in rating.,2020-01-29 11:15:20+00:00,blr_basavaraju,,bbmp mayor initi global tender collect manag garbag bbmp limit invit renown global joint pilot basi year bbmp save crore expenditur citi cleaner jump sever point rate,Waste/Garbage
56,56,"@BBMP_MAYOR Respected Mayor please do something to change the lobby of garbage management lobby and Animal Birth Control system. People cursing BBMP during sleepless nights. Break nexus of contractors, bureaucrates and corporates/MLA/ MPs stop throwing tax money in drains.",2020-01-29 11:11:45+00:00,blr_basavaraju,,bbmp mayor respect mayor pleas someth chang lobbi garbag manag lobbi anim birth control system peopl curs bbmp sleepless night break nexu contractor bureaucr corpor mla mp stop throw tax money drain,Waste/Garbage
57,57,@mrinalini_bhat @BBMP_MAYOR @BBMPCOMM nice initiative...in Chikpet garbage collection needs to be twice hence 2nd innings in evening will too is requested ...Huge floating public and business hub requires it ,2020-01-29 08:48:56+00:00,sajjanrajmehta,,mrinalini bhat bbmp mayor bbmpcomm nice initi chikpet garbag collect need twice henc nd inning even request huge float public busi hub requir,Waste/Garbage
58,58,Timely action Sir. But preventive steps too should be taken. Why is so much garbage getting into drains?,2020-01-29 07:15:59+00:00,Anandagundurao,,time action sir but prevent step taken whi much garbag get drain,Waste/Garbage
59,59,"Hello Sir, We can find plastics in all shops at ward 84.why no action on garbage mixing? 80 percentage garbage is going to landfill and no segrigated systems ",2020-01-29 06:57:18+00:00,Harishmoras,,hello sir we find plastic shop ward action garbag mix percentag garbag go landfil segrig system,Waste/Garbage
60,60,"@BBMPCOMM BBMP Pourakarmikas contributing to pollution in RamamurthyNagar, ward 26, just a stone’s throw away from the ward office. There is no regular garbage collection in this area. Please stop this; we are finding it hard to breathe. ",2020-01-29 06:15:57+00:00,Ind4567,,bbmpcomm bbmp pourakarmika contribut pollut ramamurthynagar ward stone throw away ward offic there regular garbag collect area pleas stop find hard breath,Waste/Garbage
61,61,"Bbmp pourakarmikas contributing to pollution by burning garbage at ward 26, RamamurthyNagar.@BBMPCOMM",2020-01-29 06:07:17+00:00,Ind4567,,bbmp pourakarmika contribut pollut burn garbag ward ramamurthynagar bbmpcomm,Air
62,62,"Sir, i have been following up on garbage mess in ward 69 for past 5 days.. but no reply or acknowledgement.. why this discrimination?? ",2020-01-29 05:58:02+00:00,MaheshKotekere,,sir follow garbag mess ward past day repli acknowledg discrimin,Waste/Garbage
63,63,"Thanks Sir, also need to take measures to avoid dumping garbage on both sides KH road &amp; Mission Road opposite to IDBI Bank.",2020-01-29 05:54:37+00:00,sanunm,,thank sir also need take measur avoid dump garbag side kh road amp mission road opposit idbi bank,Waste/Garbage
64,64,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,the futur get readi galaxyzfold phone design chang shape futur which featur excit regist http bit ly yqhu b samsung,Waste/Garbage
65,65,Sir there is lots of improvement in garbage management in the city. thanks to you and your team. Please ask inspectors to visit the streets and penalize the shop keepers for littering,2020-01-29 05:38:45+00:00,joseph11345,,sir lot improv garbag manag citi thank team pleas ask inspector visit street penal shop keeper litter,Waste/Garbage
66,66,Garbage dumped just behind Rajajinagar metro station. @BBMPCOMM @BBMP_MAYOR . What is the citizens plight?,2020-01-29 05:25:48+00:00,bnithin123,,garbag dump behind rajajinagar metro station bbmpcomm bbmp mayor what citizen plight,Waste/Garbage
67,67,"It's day 4 since i posted on garbage pile in ward 69, FF colony.. still no action.. Do i have to bribe? @BBMPCOMM @BBMP_MAYOR @BBMPSWMSplComm",2020-01-29 03:44:29+00:00,MaheshKotekere,,it day sinc post garbag pile ward ff coloni still action do bribe bbmpcomm bbmp mayor bbmpswmsplcomm,Waste/Garbage
68,68,Garbage mess here. Please take action. Affecting children's health.. ,2020-01-29 01:37:09+00:00,MaheshKotekere,,garbag mess pleas take action affect children health,Waste/Garbage
69,69,BBMP garbage trucks to get a wash after trips to landfills ,2020-01-28 23:05:36+00:00,TOIBengaluru,,bbmp garbag truck get wash trip landfil,Waste/Garbage
70,70,BBMP garbage trucks to get a wash after trips to landfills http://toi.in/Xu3lea,2020-01-28 23:05:07+00:00,TOICitiesNews,,bbmp garbag truck get wash trip landfil http toi xu lea,Waste/Garbage
71,71,CCTV to be installed at places where major garbage throwing happen and offenders are to be punished.,2020-01-28 22:36:28+00:00,Soundar03435948,,cctv instal place major garbag throw happen offend punish,Waste/Garbage
72,72,"Forget roads, with garbage burning, pigs lying around and dust ppl cant even breathe",2020-01-28 16:40:39+00:00,curryputtar,,forget road garbag burn pig lie around dust ppl cant even breath,Air
73,73,"This road will get an award for giving max number of diseases to human beings.. Garbage piled up on roads, locals burning garbage, cows grazing on the burnt garbage, add dust to all of this as masala",2020-01-28 16:38:49+00:00,curryputtar,,thi road get award give max number diseas human be garbag pile road local burn garbag cow graze burnt garbag add dust masala,Waste/Garbage
74,74,"Dear @BBMP_MAYOR One idea for clean Bangalore, I think it may work. Start fine the 500/- to the shopekeepers, malls and restaurants if garbage is seen in front of their shop or near around. Atleast half of bangalore will be neat and clean on Autopilot mode.",2020-01-28 16:23:57+00:00,Vijay1Patidar,,dear bbmp mayor one idea clean bangalor i think may work start fine shopekeep mall restaur garbag seen front shop near around atleast half bangalor neat clean autopilot mode,Waste/Garbage
75,75,Looks like a wall of garbage..must say its neatly arranged.,2020-01-28 13:26:29+00:00,BosuBasudeb,,look like wall garbag must say neatli arrang,Waste/Garbage
76,76,"@BBMP_MAYOR @BBMPSWMSplComm @BBMPCOMM We are facing lot of issue in garbage clearing in our area, Reliable Residency Phase - 2, HSR Layout 2nd Sector, garbage is collected 20 days once, please lookinto it.",2020-01-28 10:18:58+00:00,shashkor,,bbmp mayor bbmpswmsplcomm bbmpcomm we face lot issu garbag clear area reliabl resid phase hsr layout nd sector garbag collect day pleas lookinto,Waste/Garbage
77,77,See the plight of dustbins located at bus stop. It hasn't been cleared more than 10days. Where people can throw garbage. #Ward150 #BBMP #BBMPCOMM . This is just 500m away from #Microsoft Office. @SwachhaBlr @sundarablru @KasaMuktha,2020-01-28 08:46:30+00:00,hemakumark,#Ward150 #BBMP #BBMPCOMM #Microsoft,see plight dustbin locat bu stop it clear day where peopl throw garbag ward bbmp bbmpcomm thi away microsoft offic swachhablr sundarablru kasamuktha,Waste/Garbage
78,78,"Tell me what is happening, this is on 80 ft rd indiranagar. There is stagnant water and garbage thrown inside. How is this okay, why do we pay taxes? @BBMPCOMM @BBMP_MAYOR @chairmanbwssb @CMofKarnataka @BJP4Karnataka @NammaBNP @IChangeMyCity @rajeev_mp #BBMP – at Madurai Idly Shop",2020-01-28 07:46:33+00:00,Changeindia20,#BBMP,tell happen ft rd indiranagar there stagnant water garbag thrown insid how okay pay tax bbmpcomm bbmp mayor chairmanbwssb cmofkarnataka bjp karnataka nammabnp ichangemyc rajeev mp bbmp madurai idli shop,Waste/Garbage
79,79,"Garbage trucks hampering the free flow of traffic in Hebbal flyover bangalore, creating trouble to the commuters to reach their work place on time @blrcitytraffic @BBMP_MAYOR request to take necessary action.",2020-01-28 05:40:45+00:00,Hussain_feroze,,garbag truck hamper free flow traffic hebbal flyover bangalor creat troubl commut reach work place time blrcitytraff bbmp mayor request take necessari action,Waste/Garbage
