description,category,civic_issue
Garbage thrown here everyday,Waste/Garbage,1
Garbage thrown next to bbmp park,Waste/Garbage,1
Construction debris,Waste/Garbage,1
Garbage thrown here everyday,Waste/Garbage,1
Garbage thrown all over the place,Waste/Garbage,1
Garbage thrown on vacant site,Waste/Garbage,1
Garbage thrown in vacant plot,Waste/Garbage,1
"Garbage dumping on road, garbage collection truck parked on the road. Full road has bad smell. Construction waste, household wet-dry waste and also many cables hanging around in this area.",Waste/Garbage,1
"Near the park, a garbage truck is parked and it is full of mixed waste which is creating a stink, truck is not properly emptied, and waste is accumulated nearby as well",Waste/Garbage,1
Many people park in the wrong side road causing traffic ,Traffic/Parking,1
Garden wASTE is dumped ,Waste/Garbage,1
Broken coconut tree dumped here,Waste/Garbage,1
Garbage on footpath,Waste/Garbage,1
Test!! ,Streetlights,1
Unsegregated Garbage dumped in bsnl customer care  centre in jaynagar 4th block,Waste/Garbage,1
"There is a branch fallen from a tree and hanging on the electric wires. The weight of the branch could cut the wires, or fall on someone. Please take it off immediately.",Streetlights,1
Health hazard for children playing in the park,Waste/Garbage,1
Garbage dump on side of road,Waste/Garbage,1
Garbage dump on side of road,Waste/Garbage,1
A lot of garbage is being dumped along road ,Waste/Garbage,1
Unsegregated waste is being dumped on roadsides,Waste/Garbage,1
Waste is being  thrown on footpaths and is not cleared ,Waste/Garbage,1
Lots of smokers,Air,1
This pile of garbage is something nobody looks forward to waking up at...This is right in front of our apartment and is very horrible to look at...,Waste/Garbage,1
All of the street lights below the Mekhri Circle Underpass have stopped functioning,Streetlights,1
Light not switched on at night,Streetlights,1
Road flooded due to jammed drain,Water,1
For 250 metres there is water loggage on road.  Even for slight rains.,Water,1
Electricity shot circuit in the colony on the electricity pole....causing too much fluctuations which may lead to dangerous situations in ones home.,Streetlights,1
Continuous illegal dumping of garbage by people,Waste/Garbage,1
"Hi our problem is water is not coming properly for us

",Water,1
People in public washrooms don't flush thus there is smell.we have a idea of putting a senser in the flush which if water does not go over withen a minute it requests the person to flush .,Water,1
"A motion detected light , air conditioner and can break circuits of certain rooms where there is no motion detected has three extra modes.",Streetlights,1
It's smelly and stretched over the footpath,Waste/Garbage,1
Garbage thrown next to footpath,Waste/Garbage,1
Waste is thrown here from a shop and burnt,Waste/Garbage,1
Lots of garbage,Waste/Garbage,1
Garbage,Waste/Garbage,1
It's been cleaned but people keep putting waste here. It smells really bad,Waste/Garbage,1
Use a dustbin,Waste/Garbage,1
Swacch Bharat highway toilet locked ,Sewage,1
The road is irregular. Bikes have problem going on this and might fall,Potholes,1
This is the garbage dump right behind R T Nagar Police station. They clear the garbage once in a while but residents dump here often as they have no choice.,Waste/Garbage,1
The garbage dump behind R T Nagar post office. This is right next to Sharanya Children’s orphanage. Can be extremely harmful for residents and kids,Waste/Garbage,1
In the middle of the road. There is a big hole and it's filled with gravel. Very difficult to ride on this road,Potholes,1
Garbage thrown on main road. It's stinky and as you can see cows are eating plastic filled garbage,Waste/Garbage,1
It's overflowing and dirty water is all over the road,Potholes,1
It's huge dump. Not cleaned from a long time. It's stinking badly,Waste/Garbage,1
It's right next to dustbins. But it's coming on to road now.,Waste/Garbage,1
There is a big hole in the center and it's dangerous at night to ride,Potholes,1
"3 spots with heaps of dry leaves are there. People have started dumping garbage on these heaps of leaves. If left unchecked, can turn into a big menace.",Waste/Garbage,1
Street light needed bcoz this spot has a public tap,Streetlights,1
The garbage dump behind R T Nagar Police station. This is a regular nuisance to the residents in the surrounding houses,Waste/Garbage,1
Sewage waste dumped next to Adishwar Electronics showroom after cleaning by BWSSB. This waste has not been cleared by either BBMP or BWSSB.,Waste/Garbage,1
Garbage dumped behind R T Nagar post office. This is next to a children’s orphanage. Please clear it.,Waste/Garbage,1
Many residents in this area are forced to dump garbage on the roadside or behind vacant properties because the door to door garbage collection is extremely poor.,Waste/Garbage,1
Garbage,Waste/Garbage,1
Garbage,Waste/Garbage,1
Garbage,Waste/Garbage,1
Mixed waste being dumped by fruit vendor at this spot. No proper disposal system set up on road for these vendors.,Waste/Garbage,1
Garbage,Waste/Garbage,1
Garbage,Waste/Garbage,1
"People are parking in the wrong place .
And it is difficult to turn . And it is making traffic. And there is a EB post , drainage pot holes and a big stone ",Traffic/Parking,1
Garbage Dumping at Banashankari. Long time without proper cleaning from public authorities.,Waste/Garbage,1
The people of this location dump garbage here and it is indirectly polluting the surrounding. Please help to clear it and keep it clean. ALSO THERE IS NO GOVT DUSTBIN,Waste/Garbage,1
"There is garbage on the sides of the road, which not only ruins the look of the place but covers the footpath making the pedestrians walk on the road.",Waste/Garbage,1
There are wires hanging and dangling along this entire road.It can be very dangerous for pedestrians.,Streetlights,1
It's thrown here and hasn't been cleaned. ,Waste/Garbage,1
Garbage thrown outside dustbin. It is stinking ,Waste/Garbage,1
Pothole on side,Potholes,1
Pothole,Potholes,1
Footpath damaged,Water,1
Garbage dump,Waste/Garbage,1
Road damaged,Potholes,1
It's in Besamt Nagar beach. All dustbins are broken and waste is thrown all around.,Waste/Garbage,1
Although cleaning is on daily basis but walking bridge next to IITB main gate is full with leftout drink bottles is a daily issue here. Sometimes these glass bottles found in broken form on the steps.,Waste/Garbage,1
Garbage is thrown all around. Dustbin is full and the waste is thrown outside,Waste/Garbage,1
Drainage cover broken,Potholes,1
Pothole on side of road,Potholes,1
Damaged road,Potholes,1
Dangling wires,Streetlights,1
Huge Garbage dump entire footpath till 100 meters lng.,Waste/Garbage,1
Garbage dump on Footpath and burning,Waste/Garbage,1
Garbage and debris dumped on footpath,Waste/Garbage,1
"Tree branches dumped on footpaths

Entire road around more than 100 meters",Waste/Garbage,1
"Hotel food waste, Garbage and debris dumped on footpath bad smell and magets.",Waste/Garbage,1
Tree branches dumped on road and footpaths,Waste/Garbage,1
"This place had a very or decent road for vehicles, due to some work the BBMP has destroyed the road completely and for may days/months it's not fixing it. It is not good as there is a school nearby.",Potholes,1
This place is located in a residential area and people are dumping garbage without any concerns. Help me keep this area clean and apply strict rules.,Waste/Garbage,1
Dustbin is overflowing. It's not been cleaned. ,Waste/Garbage,1
Garbage dustbin full and construction waste is thrown next to it. Not cleared,Waste/Garbage,1
It's an residential area. Waste is thrown next to the road. ,Waste/Garbage,1
Lot of coconut shells thrown. ,Waste/Garbage,1
Construction waste thrown next to road,Waste/Garbage,1
"Important road in Whitefield, Imadihalli Road: The middle of the road has been dug out and filled with rocks, creating uneven roading and potholes.",Potholes,1
"Flooding along road, worsening traffic jam.",Water,1
There is a gap between the footpath and the road and there is garbage in it,Potholes,1
Garbage dump near temple. Dogs are eating the plastic.,Waste/Garbage,1
Garbage dump in roadside,Waste/Garbage,1
The sewage water overflow near right outside Al-Bek in R T Nagar. This is extremely unhygienic right outside an eatery. Happens almost every day.,Sewage,1
Lack of door to door garbage collection leads to roadside garbage dumps,Waste/Garbage,1
"As mentioned in complaint number 4437, another day when the sewage over flow was observed.",Sewage,1
Dumping in front of residential building in main toad,Waste/Garbage,1
Great job job done by Mr Byregowda to make the pond work complete,Potholes,1
Please clean the garbage,Waste/Garbage,1
Garbage thrown in vacant land,Waste/Garbage,1
Hanging Wires are there all across city,Streetlights,1
"Close to my home, there is a big bin for dumping garbage. But, people are throwing away garbage all around the bin, and never inside the bin. They feel very lazy to do that. It's really disgusting.",Waste/Garbage,1
Deep pothole on side of road,Potholes,1
Deep pothole on centre of road,Potholes,1
Garbage dump on footpath.,Waste/Garbage,1
Flooding during light rains,Water,1
The footpath in this area has been completely destroyed and is now causing citizens to walk along the car-filled roads which may end up causing an accident,Water,1
Just trying,Waste/Garbage,1
Logging,Water,1
Garbage bins are overflowing with stink,Waste/Garbage,1
"This is the small plant area I have out of my house 
This was littered by many people who are passing through since my house is in a main road 
They irresponsibly threw the garbage with my sight",Waste/Garbage,1
Garbage thrown by near by shops and houses,Waste/Garbage,1
Street lights completely damaged,Streetlights,1
Water not getting drained at outlet,Water,1
Deep potholes on centre of road,Potholes,1
Deep pothole in centre of road,Potholes,1
Road level not even.  Water collected at end of slope,Water,1
Garbage dump and open defecation,Waste/Garbage,1
Large cars are parked in wrong places hence metro lorry is unable to come,Traffic/Parking,1
A small hole  on roads which open due to the force of rainwater.closes due to spring.Has net for only water passage.Has censor to see amount of water collected,Water,1
In my area( mount road ) we face a huge dumping of garbage in vacant lot. Due to this we face different kinds of diseases formed by the insects and the flies in that garbage. Parking space is reduced,Waste/Garbage,1
As in our area(mount road) lot of garbage is being dumped in vacant lot. This causes a lot of problems to the public,Waste/Garbage,1
Thrown waste here. Not cleared,Waste/Garbage,1
Dustbin overflowing,Waste/Garbage,1
It has a heap of garbage all wet and dry mixed together and there are cows digging through the this heap. Not only this but there is also so much of smell which causes lots of inconvenience for people,Waste/Garbage,1
Small pothole next to manhole,Potholes,1
Garbage dumped on road and footpath blocking it,Waste/Garbage,1
Footpath blocked due to garbage dumped for weeks,Waste/Garbage,1
"Potholes at the footpath stretch between NCC apartment and Purva Venezia,  Yelahanka",Potholes,1
"The roads are very uneven laid .At some place a mountain of road is built
",Water,1
"People park vehicles on one corner of a narrow road making it difficult for other vehicles to move.
They even park their vehicles on the footpath making it difficult for people to commute and walk.",Traffic/Parking,1
"Hi, I am tussar Bohra studying in dav boys. In my locality there are very less plants n more wastes n the wastes are littering out of house. Government should keep dustbins for 2 or 3 houses. ",Waste/Garbage,1
Garbage collectors do not come and Collect the garbage at the correct time....they leave it till it it overflows...so the stink is becoming higher day by day.... flies start to come ...  ,Waste/Garbage,1
Now a days the air has been very polluted It has affected in many problems of day to day life,Air,1
"This is garbage dumped area is near Country Club, Sathnur Village. The odour was horrible n unbearable.. This black spot has been here for several days today.",Waste/Garbage,1
Vehicles have been parked in front of the gate. ,Traffic/Parking,1
Wrong parking of automobiles during the conduction of tution class has led to the complication of movement of people in the street from one place to other either by foot or by driving. ,Traffic/Parking,1
The garbage dumped here gives out very bad smell and has become home to flies ,Waste/Garbage,1
The localites first dump the garbage and then burn it to clear the space.,Waste/Garbage,1
Road repair work is done upto panjak medical store. They should complete road upto esteem mall,Potholes,1
Garbage overflowing and stink near Chettinadu Hatisree school. ,Waste/Garbage,1
Garbage is thrown all around. Its come on to road. And it's stinking,Waste/Garbage,1
"Encroachment of road by auto repairs
",Traffic/Parking,1
Construction debris,Waste/Garbage,1
There is a pile of garbage stacked when there is a garbage dump place just 100m ahead.,Waste/Garbage,1
There is a garbage bin but still the waste is all out.,Waste/Garbage,1
"There is over flow of garbage in our area
",Waste/Garbage,1
"In our area, there is a heavy rain. I am unhappy to see lots of water wasting by ending up in drainage lines. I kindly request our government to drill deep narrow tube wells nearby the roads.",Water,1
"Garbage through out everywhere
",Waste/Garbage,1
Unable to collect rainwater,Sewage,1
Stagnation of water after rain!,Water,1
Whenever it rains the rain water gets accumulated in puddles and the sewage gets mixed with it. It gets accumulated in puddles due to the poor and uneven condition of the road. ,Water,1
Whenever it rains the rain water gets accumulated in puddles on the road due to the poor and uneven condition of the road. ,Water,1
"Although daily, wage workers are cleaning the walking bridge, broken glasses are fell on on the bridge walkikg steps. ",Waste/Garbage,1
Couple of days many of us are scared without water,Water,1
"Corporation is not taking any further actions.
This has been reported more than 10 times
Place looks very shabby ????????",Waste/Garbage,1
"Near Hoodi lake, opposite Ankur Restaurant.",Potholes,1
The garbage is not being put in the dustbin and is dumped everywhere around the dustbin. ,Waste/Garbage,1
"A pile of garbage in front of kundalahalli lake. The water here is polluted,it has become a breeding place for mosquitoes.",Waste/Garbage,1
Lot of garbage right outside the general hospital jayanagar. The garbage has been lying here for days and it stinks too. How can we care for the patients in such an environment?,Waste/Garbage,1
The people are not throwing the garbage in the bins. They are always throwing it on the ground,Waste/Garbage,1
The people are dumping garbage on the ground as there are no garbage bins kept there,Waste/Garbage,1
"People just throw garbage ,do urine and made the place so dirty 
",Waste/Garbage,1
Open Garbage dump,Waste/Garbage,1
Overflowing dustbins,Waste/Garbage,1
There is garbage which has been dumped in the open land,Waste/Garbage,1
Garbage dumped in the corner of the footpath,Waste/Garbage,1
The biggest problem of Delhi are the manholes.  Saw this dirt near my office. ,Potholes,1
"We say we must plant trees to save environment but some people dumps here  and it has been accumulating a large garbage here .please take appropriate action 
",Waste/Garbage,1
This factory has dumped waste outside on the road,Waste/Garbage,1
Near the school compound wall in Nungambakkam is filled with garbage. People throw the garbage there.,Waste/Garbage,1
"A huge pile of garbage is lying on the road
A few cows eat that garbage which has plastic in it
Some even sleep on the garbage",Waste/Garbage,1
Please clean it .,Waste/Garbage,1
Open Dump causes pollution with Plastic and air. ,Waste/Garbage,1
Please clear the garbage near the government girls school.,Waste/Garbage,1
People's put plastics in the road.,Waste/Garbage,1
Their is a lot of air pollution,Air,1
"These dumps have not been cleared for a very long time and more of these are becoming common in our city! Not only do they smell bad and damage the environment, but these dumps also harm many animals.",Waste/Garbage,1
People should walk or go in cycle for nearby places.Use CNG gas. ,Air,1
Many accidents are happening because of less street lights ,Streetlights,1
People are throwing the garbage in vacant space. So I request to clear the garbage as soon as possible. It is very difficult to breathe ,Waste/Garbage,1
Garbage thrown here,Waste/Garbage,1
"Garbage strewn right across the pavement, piling on to the road.",Waste/Garbage,1
Varthur lake is highly contaminated through factory residues.This is also causing bad odour in its vicinity.,Sewage,1
Pavement virtually unusable with all the trash on it.,Waste/Garbage,1
Garbage dump created out of a pavement.,Waste/Garbage,1
"I have noticed this heep of garbage tht is not being
 cleaned and has been piling up everyday",Waste/Garbage,1
"Please clean this
",Waste/Garbage,1
There are three dustbins in that location but the garbages were thrown or dumped outside of it and this should taken as a serious issue .Where the Chennai corporation is not responding to this problem,Waste/Garbage,1
Dumping of waste has caused a bad view on the passage way of the lake,Waste/Garbage,1
There is a long potholes I  the main road where its difficult for two wheelers as it always a busy place . Due to this potholes it can slip the two wheelers and it may lead to an accident. ,Potholes,1
From past 10 days we are complainting there is no response ,Sewage,1
When the government have installed meters for autos.then why dont the autos follow them?why is the government not taking action?,Traffic/Parking,1
"What are the traffic police doing?when the bikers pass them without wearing helmet noticed?

",Traffic/Parking,1
Garbage are thrown nearby our house one one is not caring ,Waste/Garbage,1
Parked in the turning of the road,Traffic/Parking,1
"In this lane there is so much of Drainage waste, Construction material waste and Household dumping lying from past 6 months. Its continuously raising the disease alarm. ",Waste/Garbage,1
Dumping of garbage in vacant site. It is a very big issue. It stinks a lot. Very harmful for our health.,Waste/Garbage,1
Vechiles are not able to come easily ,Traffic/Parking,1
There is a drainage near our street and garbage lying there may go inside the drainage and cause problems,Waste/Garbage,1
