tweet,civic_issue
@Kal_Penn OH MY GOSH. I'M STILL ~EMOTIONALLY~ DYING AT THE FACT THAT KUTNER'S GONE! Arggg.  Kal ily. ,0
@kaozdesign  I think I found my face...unfortunately. You didn't find yours yet?  ,0
seeing that shouldnt have made my stomach flip like it did ,0
Headache... Pleeeease go away ,0
@siddharth_ind yeah i do. i have an application that runs every few minutes to do that but its the add-ons. they conflict all the time ,0
Pretty good coaching with exceptional talent trounces exceptional coaching and pretty good talent. MSU ,0
I hate Tuesdays ,0
@gracedent it's her &quot;hair&quot; I can't deal with ,0
Feel like I'm stuck in a rut. Waiting to hear back from schools is killing me.  Also decided to take a break from #wow for awhile.,0
i need new glasses...mines is hangnon 1 arm ,0
Meat Week Day 3: Tummy hurts every night ,0
Why isn't there a &quot;fake&quot; Verruca on Twitter?... Now i'm sad. ,0
On the phone with the bestie than shower.. Confused I don't know what to do ,0
"@Sirrah21 Aww poor froofroo, this is way too late for you ",0
i miss my 808 fam ,0
@OfficialPRofOZ she sed puerto rican ,0
@JoeFernandez @klout your not thinking of selling are you? ,0
"@simX Yeah. I always slow down at the end  ï¿½ï¿½also, take that! I win.",0
"@pornstartweet i wanna go, but I am only 20!!!! ",0
@LoveMeagan how i mss the snippet hun?..wts it of may i ask?..i wanna hear ,0
"I know! Big love, true blood and united states of tara have too long of waits between seasons! ",0
@sensesdestroyer I wanna go to lamb of god ,0
is sad she has lost her HN arm band...it just disappeared ,0
set my alarm to wake up... wanted to speak to my sis in Africa on Skype - I miss her sooo much ,0
awh damn! my puppy has ticks ,0
"|H|ouse made me sad. Oh, Kutner ",0
@_saffron  Why not? :[,0
Why do I keep looking...I know that what I read is gonna hurt but I still look! I guess it's just a girl thing &amp; I need to get over him. ,0
needs hugs/snuggles... ,0
"@Health4UandPets saw the one with a GSD covered in them, and I could not stop crying. I just bawled and bawled ",0
Rachel and jessy r making me work out  thanks you guy,0
I'm wishing I had more time ,0
@mycaricature The only bit that got me really was when he said Babs was a bad mum  I'm sure that hurts her even though she's laughing.,0
I am not wanting to go to school tomorrow. ,0
Used the term &quot;Fail Whale&quot; to a client on a pitch last night. From their incomprehension corp twitter is being done much lower in the org ,0
@rootbeerfloats8 You hate Billy now?! ,0
On a 2-day work-week..fast-forward to Thursday please ,0
@snaprebelx omg i love that show. i would be so mad. i feel ur pain im sorry they spoiled it for u ,0
Is it possible to die from coughing? It SUCKS being ill ,0
cant believe i have to go all the way to Barnes for work today....instead of a 5minute walk to St Johns Wood ,0
@paulieseow hahahahahah i can easily make ice milo but its just not the same ,0
why do both of my best friends have to be shitty simultaneously?  Can u at least take turns hurting my feelings? jerks..    going 2 sleep.,0
My #art is regressing... ,0
@onlysweeter I don't know the dance. ,0
@laurwee_boo im ok I guess had a hard day ,0
Jade is looking for a new home...  http://apps.facebook.com/dogbook/profile/view/4744827,0
damnnn! i missed 11:11 ,0
"@sarahprout tweetfinder hates me  and I was having trouble with background on twitter,what do you think?",0
@Twilighter4Life lol yeh ill be studying  stupid uni. only 2 more weeks and im on holidays! YAY! plus my birthday next week woot,0
"@transbay &quot;SFMTA Budget Proposal Hearing: tomorrow, April 7 at 2:00 pm (City Hall, Room 400). Sadly, I cannot attend.&quot; Me neither. ",0
is afraid that her G.I. notes will not read themselves. ,0
*Sigh* Rain??? Why did you decide to show up? Move away! You were not invited to the Tuesday-party  (this is not the start I hoped for),0
"_secretgarden_ I haven't gotten any porn spammers  I don't check my followers, but haven't had any tweets like that.",0
Somebody is selling the Japan only release of my first album on E Bay for $25. Damn thats it? A classic is worth more than that! ,0
@charleneli Disqus now integrates conversations on many platforms. haven't heard abt JS-Kit ,0
and they advertising fake louis bags as 100% authentic on google  i'm pissed!,0
Can't sleep  dam naps lol... and its hot,0
Why do I keep looking...I know that what I read is gonna hurt but I still look! I guess it's just a girl thing. ,0
"@henrygooden @oddchicken I went there about a month and a half ago, was still open then. Smelt really good, but I was getting sick ",0
is ready to go to bed..long day tomorrow ,0
job searching.....FYI: Yahoo HOT JOBS suck! .. im never going to find a job ,0
"No electricity today, so no tweets. ",0
@big_think Can Zack tell me how to edit my Bio/Profile? Why create a login at a different co's site to get an answer from BT TechHelp? ,0
"Morning all, starving and dying for a cuppa but can't cos off to docs for fasting blood test in a little while ",0
Very tired this morning - no idea why! Great start to the day ,0
"Morning All, I'm back from my little break from the computer. back to work again today ",0
At mobilityvic.org launch.  No grog  nice video from PWC though,0
still no &quot;followers&quot;   please some1 inform me on how this works????,0
misses him right now. i need a hug ,0
Tried to get up earlier today........didn't work out ,0
Omg revisions revisions revisions! I feel like I wasted an amazingly beautiful day today doing pointless work ,0
Foot is out of commission  ouch! Running this morning did not help...not smart.,0
"About to shower, which I hope will wake me up at last. Oh, and the synth experiments yielded nothing last night ",0
is really bored and really sleepy...and mad she can't find a custom lanyard maker that wont make me buy 1000000 minimum ,0
@cmykevin ooh nice! but williams sonoma already got to me. ,0
I've finally given in. Now at Malaysian restaurant waiting for nasi lemak and teh Tarik. Mereka tak faham bm...  http://twitpic.com/2y4bh,0
Waitin 4 the theory test centre 2 open ,0
"got woken up this mornng at 7am - damn Lorry , van and car accident just outside on our main road also causing car alarms to go off.  ",0
I think I need to get laid. Sad revolution I had earlier rofl ,0
@ourcitylight that was so sudden!! ,0
Now i want Amanita  ...someone made me feel unliving.,0
@lanaRISQUE hahahahhha!! hows your food poisening going? has it gone away? ,0
@MissxMarisa haven't heard from Hannah at all yet!! it's very disappointing ,0
@hutsoncap  everything alright?,0
is procrastinating... i feel ill.. but don't want to go to bed.  ,0
@danielhalpin Gonna try and find a sports bar to watch that at... not got a chance though I don't think ,0
wants to go home and watch The Hills ,0
@sarmar I guess I'm out of funny ,0
@moethebeat aww moe! I was planning on leaving tomorrow evening  are you gonna be in town by chance?,0
"i wanna write, but i'm not cool enough to make up a storylineee. ",0
"@Gripping agreed! love the sound, but hates how everyone knows them ",0
@brendamew2 no art tomorrow.  and nice to see you've joined twitter!,0
"Sigh, I think my PMS is making my mind totally over-analyse things and making me sad ",0
@doriantaylor I had one outside my patio. I named him Rex. Then the gardner took him down. RIP Rex ,0
Ooops. Just ate a panini from W-mart cold that says it needed to be thoroughly cooked. It didn't taste raw. I die nao from f. poisoning? ,0
Good morning for a very rainy France  No gardening for me today.,0
"If ever there was a day for staying in bed, today is it ",0
Got to take Cleo to the vets. Not sure what's wrong with her but she's feeling very sorry for herself. ,0
"today is day 1 of my fast &amp; i feel i may break b4 i go 2 bed  i must hold out til the end of the wk! must stayed focused, wish me luck...",0
Extremely jealous... ,0
@kimmyawesome Ohhhh that sucks  I love the summer set.,0
@daydee tell it you forgot your password &amp; it will give you a new one. it's the only way I can prevent tons of spam ,0
bedtime. wake up call at 7am ,0
So glad I made it through work - with an extra hour too and my paycheck.  Still waiting on the one I lost though ,0
"Mum's been taken to hospital, they don't know what's wrong, she's been vomiting since yesterday. Rushing back to get to the hospital ",0
congested nose ,0
Can't sleep. Need to talk to someone. ,0
"@penalba por favor decime ke no estas involucrado en esa pagina nicatrolls, they're THE CANCER that's killing /b/ ",0
"too cold and tired to write good twitter. everyone was obeying the cops tonight, total dissappointment. we were so close ",0
Lifee Gets Worsee &amp;&amp; Worsee ,0
@dnwallace - I am shuddering and shaking too ,0
"Sorting brekkie for the kids then off to the horrible place called work, boohoo ",0
my condolences to natasha richardson's family ,0
@LittleYellowJen what do don't think ily?? nawwww ,0
Where's Derrick  http://ff.im/-1XWXs,0
Needs to stop sleeping all day.. Causes some problems when you're wide awake at 2:45am... ,0
missed today's ELLEN ,0
I suddenly miss my Flintstones vitamin tablets  SOOOO GOOOOD,0
@mattpro13 legitimately good cops out there ,0
@onlytosee Twitter's been doing that to me tooo. ,0
@pealuh I think I need to go to Twitterholics Anonymous...... ,0
@lizhenry we haven't heard from her or sha. ,0
my heart has been broken. ,0
i forgot how to sleep ,0
Morning everyone! In serious need of some decent coffee.. why isn't the catering open yet at 08.30? ,0
@mostazzza Im sorry I've failed you ,0
@CodaQueen oh wait he does have 1 in Oakland on the 18th. Can't understand why he only has 1 &amp; in Oakland ,0
is missing talking to my bff on da phone!!!! ,0
wondering why I am so stupid  Need to eat more fish I guess *sigh*...,0
i miss my old friends from elementary ans middle school ,0
@twitter please fix this http://sp2.ro/5b7bdb because it brakes all external twitter avatar searches ,0
looks like i've missed out on yet another job  someone please employ me! Haha,0
"@tacce dang, I'll get HOUSE off iTunes. I hear it was a devastating episode ",0
Wow.... the shout box has kicked me out and I can't get back in. I guess this means good night ,0
Slideshare's embed code is annoying me.  Sorry about the tiny embed  #fail,0
@Flawless326 Why did my baby have to eat 3 prunes today and now he finally went ! My poor baby ,0
I'am bored. Nothing to do! ,0
morning all - 1st appointment of the day - the dentist ! ,0
"@amyserrata he wrote most of the album, but ironically, the singles he did not write ",0
Someone PLEASE take Gossip Girl away from me. I'm addicted ,0
good night swetdreamss to everyonee   and jared never chat in kyte puff ,0
Horrible sore throat  hurts,0
"Time to get dressed, I suppose...gah another workday ",0
"Not to self: licking off pudding from a seafood fork, not so enjoyable as slowly licking off of a spoon ",0
All ready to go to the premier and just realized how under dressed I am ,0
It just makes me happy! over and over again. I wish I wan't afraid to fly  http://tinyurl.com/64skpp,0
@Eyrro awwwww bummerr...sorry missed it again ,0
Waking up to the sound of jackhammers is not a pleasant way to start the day. ,0
@almostcool i'm off now ,0
"@jon8737 that just totally made my night, LMAO. They were like screaming at me and I couldn't focus on the 900 mph song ",0
Nevada is really long and the gas pumps are down   But on a good note I just won $5 in a slot machine!!  I love to gamble!!!,0
@amirrabennett nope. baby's due in 5th may! getting closer but still 1001 things not done ,0
headache ,0
is still effinggggg sick  when will i get better?! ughh,0
Still in bed and donï¿½t want to do anything else. University is callung too loud ,0
seattle is in tents! i miss my T.O. peepz tho ,0
It just makes me happy! over and over again! I just wish I wasn't afraid to fly  http://tinyurl.com/64skpp,0
Errrggggg! My tummy hurts. ,0
"thought it would be interesting to get F1 updates from Twitter, slightly regretting the decision, I can't see anyone elses's updates ",0
ripped switcheasy colors ,0
We failed that song ,0
 poor mel. Feeling your pain.,0
Ugh. still working on project  just taking a small break,0
The one day I have to go to school is the same day something exciting happens at parliament square ,0
@watko Shockingly not! ,0
"Today was a less interesting day on Twitter. @cboyack , @igeldard , and @iidiocracy were all kind of quiet today ",0
@CourtneyBrwn awww thanks.. i hate being sick ,0
VIP guests today -________-&quot;   blohheeee       I HATE it ,0
Up early ,0
WHAT THE FUCK YOUKU  I WANT TO WATCH SKINS.,0
i forgot my phone in my car but i'm too scared to go outside and get it. ,0
I totally forgot we were going to do fisheye 2night   What u doing Thursday....  Btw.... I'm so late with the hills... LOL,0
totally shocked by the episode of house this eveing  Lost one of my favorite characters.,0
@offbytwo seeing a doctor i hope? ,0
didn't pass the first part of the CSET  I missed it by 5 effing points!,0
"@KevinPeterson the 2G cases were like that. But scratches don't void your warrenty, dents do... As I found out ",0
"I have chapped lips, boo ",0
@ryleebeth ye im not  very sad...but weirdly enough shes lettin me go 2 da party?? how confusing parents r?? lol,0
@Kimboinlimbo no chance of that coming back when it'd be 20 mins faster than the Javelins though ,0
bored and lonely ,0
Back to classic rainy Amsterdam days ,0
feels like crying that's how sick i feel ,0
@Horrors_Wench Me toooooo! I feel like I've been on the verge of an anxiety attack all day.  ,0
"I woke up an hour ago ... Now I'm having a hard time going back to bed  in Lakewood, CA http://loopt.us/rywlHQ",0
Going to sleep with lily and rocki &lt;3 Johnathon is too busy watching batman movies  http://twitpic.com/2y4j5,0
@gaspitsnicole sigh me too  mostly i midd hsnging out with my friends damn growing up : p,0
@mrskutcher *lol i wish i only had bad sync. in germany right now where the subtitles dont work at all.  lol,0
@AlyssaSpears I'm sorry.   Maybe walking around all goofy at the store would help...HINT HINT! &lt;3,0
@Contempted Did the heroics ever go through! If not sorry! ,0
im so tired this morning and there was only cold shower water!not happy ,0
"haha I've been with my grandma for 2 days. even she's about 5 houses away, I'll still miss her ",0
clearing my desk... ,0
w/ every person there. I didn't get a pic  my phone died but he signed my shirt so amazing words cannot describe should've skipped mel lol,0
is crying inside. Please oh please let it rain  so warm.,0
@thecoolestout ,0
"packing my overnight bag for tomorrow, going to the hospital ",0
@gaspitsnicole sigh me too  mostly i miss hsnging out with my friends damn growing up : p oh yeah i miss being able to spell too lol,0
@Glavas lol.  U read my bio but spelt my name wrong           DARYLO ... Ahem ;),0
"Guten Morgen. Up and off to get ready to go to Phantasialand, Cologne. Yay! But booooo, last park of holiday ",0
@la_discoteca  i just saw this im sorry ,0
: @nikicheong just reminded me that #KrispyKreme http://www.krispykreme.com.my/ has landed in Msia and has an ugly website ,0
@guykawasaki  That's so sad for the goats.   Wa-ah-ah-ah-ah-ah!,0
watching the roadworks develop outside the office that'll make me late for the next 10 weeks  #fb,0
at work  w asma3 nawal in fe obeerate alwatan TV,0
I wish i could go 2 bed with out having 2 take an allergy pill. ,0
@khqrightnow I heard them making announcements trying to find them. The mother looked so worried. ,0
I have to work alone on Saturday    ...anyone wanna come keep me company? COUGH COUGH.,0
ok... maybe i'll sleep for an hour or two. Then I MUST rise to work on my thesis ,0
goodd nightt  sweet dreams to everyonee   jared neveerr chat on kyte   lol,0
"@TiffinyHogg I heard Timewarp was fantastic! Gutted I missed it, was playing @ egg ",0
"Wishing it wasn't 245 in the morning.  sleeping is awesome, work is not, and I need to scrub my apt!",0
"@eileenb I had that a while back (http://tinyurl.com/dmukpr), and I know some other people that have too ",0
@baf03 hi steven! man it's only been a week and i'm ALREADY behind on school work ,0
@Weebeedee run was great thanks. Is very windy today so bike ride not an option this morning ,0
@aniita_0517 Yes i did. That's a sad topic for me! haha... I am not going to the concert... It's very far and probably very expensive  ,0
couple of mt texts didn't arrive here ,0
"decided to rejoin aerobics cos I know I won't exercise if i don't. after paying for it, i only have RM3 left in my bag ",0
@ientje89 aw i'm fine too thanks! yeah i miss you so much on the MFC  but hope we can talk later on today  kisses :huglove:,0
@hartym looks interesting but lot of 500 errors on the documentation website ,0
@Kal_Penn You were my favorite.  You did an excellent job.,0
This breaks my heart Navy Seal Marcus Luttrell's doggy  http://www.rightpundits.com/?p=3669 I am filled with rage.,0
argh ive eaton so so much today ,0
zurich does not have smelly bags anymore ,0
"in the university, in the classroom, on the computer... shit my day is boring ",0
I want to get back in bed ,0
@fanofbsb4ever Sorry you missed it ,0
Worst burn of my life! so sick ,0
"@PriscillaCruz So funny because I watched 'Only The Strong' today, what are the chances? I miss Capoeira   Zoom Zoom!",0
It's official! I'm going to have an educational summer. Owh God. Bless me ,0
@avisionofbeauty your phone doesn't like it  sorry,0
too much to do  not enough motivation ,0
@missoliviaa nooo brat. to the west coast hahaa quite making me sad ,0
"oh everyone is going to sleep, how much i wish i could  its only 4.45pm, and im @ work!",0
"One thing I hate about dozing off in lects, I wake up to a sheaf of wet and badly smudged notes. ",0
Sleepy head.. chances of actually sleeping? Slim to FUCKING NONE! ,0
Where has all my money gone?! ,0
Now I'm down to 10% battery! ,0
@KristenjStewart just watched the trailer for adventureland on itunes looks so funny!! pity i don't think we get it in Australia ,0
"I'm so tired, have to get up and go in to school during holidays for the 3rd time  xxx",0
"OMG, more than 360 people is the death toll in Italy ",0
@ThisismyiQ layin down...i dont feel well ,0
@SCC_Skwerl Aww how depressing! ,0
@TheBlondeTheory  ditch in another parish. Some really sick people in this world. ,0
"Yo jimo i cant talk on aim anymore, its glitching  ill cya later and i hope u see this",0
I just gave an msu fan a car rental discount.. He looked so sad I just couldn't turn him away.. ,0
"ordered a pita...it NEVR came! why they say the fax machine broke and the driver left, what about my empty BELLY ",0
Britney was fucking amazing!! After we just went back to the hotel...I hate travelling with cheapos. ,0
"@powerpoole some people try to be tricky, some stop using twitter at all  i guess it's as good as it gets! i had to try.",0
@dra6on now I am sad cos u r sad ,0
@gotobekiddingme I tried.....and failed ,0
@ditty003 I'm looking at mine And I can't even get to it... School work sucks...atleast when u get home that's it  LOL,0
AC/DC rocked last night. Back to reality today.  70000 people without homes and &gt;150 dead in Italy ,0
"@heatherlibby  Oh well, she seems like trouble. Christian Slater is trying to kill her at the moment.",0
Hoping I can get some decent sleep tonight since I didn't get any worth shittt last night  Goodnight World! XOXO,0
i want diana F+. it looks great... ,0
i've got one of those spots that doesn't really show yet but hurts like hell and will no doubt be a beauty tomorrow ,0
@ekim1406 hehehe too bad they were separated ,0
Babe aint callin ,0
"@Hetty4Christ heh, yeah, I shakily conquered the ladder. Pointless job, tho. We're too far away to receive digital signal w/ antenna. ",0
"Good morning, hope everyone is feeling better than me.... this cold has really got hold now ",0
"Train rammed, fellow commuters vile . Special derision reserved for the man who appeared out of nowhere to claim 'his' seat. Luggage rack ",0
@Kal_Penn I will miss you on the show... you were awesome!  What a shock!!  ,0
talking to a boy  hating work though ,0
someone keep me up....im at work ,0
@LarrissaR please don't leave. stay for grant's bday ,0
@DanielCalderonL yeaah I hate that! ,0
@pmelt the only bad thing about aids is you can only catch it once  Id want to inflict more pain on the deadshits of this world.,0
@childhoodflames whats wrong! ,0
"Off to bed now, sick n can't sleep but will try w/ help of meds :s ",0
Blip.fm is down...I'm going back to normal tweeting for a while. ,0
@Lilylauren I get sad when ppl shave their moustaches  I don't know if I'd cry about it tho,0
Oh my gosh... Oh my gosh...Susy is going to kill me with her remedy. ,0
Finally going to sleep and waking up early to study ,0
I miss my friends from elementary and middle school ,0
"@cyantificNHS Balls  Although without the tunes, it's just a holiday then ;-)",0
chick corea was tonight...and I missed it  ...now she sobs,0
I'm going to love this season of the hills... I can tell!  Spartans sucked.    Goodnight!!,0
needs to study for quant and do legal process assessment for 2moro ,0
"@itsangie i canceled it, with plane tickets, hotel stay and tickets.. it was close to $400 if we eat cheaply.   man i soooo want to see O!",0
"@polaroidskyline that sounds fair horrible.  i was going to repeat myself, but i guess the text I just sent you would do it better. whee.",0
"@bivancamp aw, that suuuucks  Sorry dear!",0
@NeYawn Yeah! Interview... Don't know even when it is... ,0
"@LFTA So ur just gonna delete me like that...Y do I feel like &quot;Tom Cruise&quot; on Jerry Maguire when he got fired right now, yo.  LOL!",0
had the worst dream abt some turd face i used to date... ugh. it was awful. ,0
@shresthayash  ouch I can just imagine a toothpic in the eye or something ,0
uh...I feel so lonely  I wish my BFFWIAMC (Best Friend Forever Who Is Also My Cousin) has a Twitter,0
Why do people keep following me and then randomly stop?  It makes me sad!,0
Still feeling bleh... Spew burps and all ,0
hot deadline... ,0
"has to return the shirt she bought from Topshop bc she has $50 in her bank account that has to last her the rest of the month, life sucks ",0
woke up at 6am  far too early...more coffee then,0
is tooooooooo cold. ,0
Why is it raining tomorrow night after it was sooo nice today?!  Guess I should be thankful that I was able to enjoy it at least.,0
Michael Crichton ,0
CURSE MY SLOW INTERNET. I miss YouTube ,0
feels a headache coming on! ,0
@gordonchiu You're one letter alway!    Koreans don't use &quot;X&quot; so there's no hope for me. ,0
Working on the Holy Week ,0
@marnieblaze haha nope. i guess nothing is original these days ,0
"Lots of revision to do tonight too for my final assessments. More assessments today as well, 90% pass mark is harsh ",0
all thats stapling chipped my nails ,0
 is cold,0
@PaulTeeter we passed by the border ,0
"Chewie update. OCD in left legs fixed, but possible OCD in Right leg as well, and worse still hip dysplasia in both hips  Not good...",0
Just got back from the hospital. BF's nephew might have meningitis ,0
Chi?u nay h?p chu?n b? t? ch?c m?y s? ki?n ? tr??ng ! Bao nhiï¿½u vi?c ,0
is coldd ,0
Please watch this vid and tell me if you are not moved  http://www.youtube.com/watch?v=EUJSME0TORw,0
Boo another day at work  but only 3 to go then 3 days off ; ),0
driving to schiphol. apperantly I am not the only one. Stuck around aalsmeer ,0
Not anymore  how does Daisy manage to take up 75% of the bed?,0
@garretjiroux do u write back on twitter? i miss ya garee...  x,0
"Getting changed in the hopes that, that means we can go to the store now!  Poor cat is out of food...oops. ",0
I'm in pain ,0
"@nicolerichie: Haha. Yeah, they were that band from MMC! I used to have a CD, but I lost it. ",0
i miss my bcd friends ,0
@oliyoung But that requires assembly! Assembly is completely overrated tonight. This is harder than I thought ,0
On a diet.... Woke up 2day Hungry ,0
@JBeauty oooh *heads high killin 'em wit da no* lol didn't think so..  but u don't really know me yet I'm a good tucker inner haha,0
I hate cooking dinner ,0
@maikeru76 you aren't connected with me back...so I can't DM you...  ,0
My compassion to the people in italy! My mother is calling with our relatives in Italy right now  ,0
"@riskyrevenge Wait, what? Sick? ",0
@oishiieats did they play polite dance song?? only my fav. please dont say they did. or course they did.   damn me!,0
I need to find a battery for an Elinchrom Ranger.  Nobody in Canada has any in stock ,0
So now it's just a wait &amp; see game. I fall asleep &amp; it might or might not be there when I wake. ,0
Off to London today ,0
Smile like you mean it. Wow. This song brings back memories. Still can't sleep. ,0
@muzocan we should talk about this australia issue.. ,0
"I was woken up from a deep sleep just to be let go for Mad Max.  Not happy. And now, i can not sleep! ",0
"Sorry, was getting ready.  Going to leave at 8am today.",0
Got a speeding ticket ,0
@kristensaywhaa he is an ass. .. .. .. hM ..  did you watch the first episodeee? i freakin missed it ,0
@scarletjac but not good for me close to my current challenge ,0
"But the international font looks ugly. Going back to original font. After all, who'd tweet in malayalam ",0
doing some business studies revision ,0
misses David actually ,0
http://community.livejournal.com/ohnotheydidnt/33907252.html How freakin cool is that? Why doesnt shit like that happen to me? ,0
I can't believe it. I got my answer and didn't have to ask the question.  This feels awful.,0
Won't be tweeting much tonight   Maybe all tweets will come out in form of Tweet vomit later at about 1 in the morning.,0
I think I need to get laid. Sad revolution I had earlier rofl  http://twurl.nl/ibz2wb,0
Txt-Chat with Jake. Lmfao. Its Frikkin Awesome! I Miss This Effin Boy So Much.  Awww. Hoping You Guys Would Come Back Here Na! ) xxxx,0
@ItsDawns Thank @rmilana don't like it  hehe but it's very easy and well I'm just a Danish Dude,0
"@Craftysince1990 Lol, that's sweet! I bought tickets last year &amp;&amp; my PartnerInCrime flaked so I didn't end up going  but this, FOR SURE!",0
@razzberrie wha so now its 4GB! yay! haha no more laggy computers! but my mba cannot upgrade ,0
@defsound aawwwww i know what u mean. iv never been that girl with a sense of humor ,0
@zaibatsu ME...I'm up.  ,0
was super lucky to get a seat on the train. We pay ï¿½40 for this 25 min journey. ,0
@Coyoteontherun Bet I-  Oh wait Mac?  No prolly not. ,0
"My navel piercing tore a bit when I was forcing my dog into the bed of my truck.  MY FAULT, I know.    It looks to be healing.  Yay!",0
"wow! i got sick out of nowhere  and now i cant think straight....and mtv hasnt posted the hills online, wtf!",0
Just woke up. Apples gig was ace last night. Seriously tired now. Work begins in one hour... ,0
"Today's episode of &quot;House&quot; (Episode, Simple Explanation) was so heartbreaking. ",0
I'm frankly disappointed and offended that there is a blogger writing AGAINST FU Penguin ,0
@tpaw wooo yeah! Sorry to hear you missed out on Origin tickets ,0
Gooood mooorning world. I had a dream last night I fucked my knee again  Def need to kick start my strengthening ready for Bournemouth 7s!,0
I need some selsun blue...pretty sure i have a small spot of haole rot ,0
I think im coming down with something. ,0
re newing my twitter ,0
@lindseyviloria about that... I am gonna be in mexico ,0
@sweetlyaroundme ps I woke up this morning and I cant access any websites!  or I havent cleaned my computer completely,0
"Hates hearing his girl being ill, nothing I can do though ",0
"@SteveDiamond I know they have trouble, but I never heard a thing. I had MANY recommendations from MrTweet. ",0
@ScarlettDane no  mary &amp; i were going to go dress shopping tomorrow.,0
@NoelClarke Good morning you. Stop ignoring me just cos i said i like *cough* Take That  Am very sad now..boo hoo!,0
Feeling light headed and gross ,0
thanks chaffie... thousand apologies. please fogive me 4 i have sinned. ,0
"@ItsChelseaStaub Goodnight, Chels. And sorry about the major layout-delay.  &lt;3",0
"@Coll_aka_Aubrey Oh, you were joking? Well now I'm crushed! I was totally gonna stand in the middle of a field and wave my arms! ",0
Is waitin for th break down service as somethin fallen of my car. I've got my hot water bottle with me. Feel such a twat ,0
@HolyJaw all in the middle if the night. I've committed myself to installing windows 7 with boot camp but I'm already having issues ,0
"@RedGray Ah man- so sad, his cousin committed suicide yest and she was 8 months pregnant  - can you imagine... we been crying non stop... ",0
damn its down. ,0
Megan equals Murder. ,0
poor Sandra Cantu. My heart goes out to her family and friends. Rest in Peace Little One! ,0
morning all. v. groggy this morning.... ,0
I feel soooo bad for my doglet!  She is not understanding why her mouth is so sore!  Poor little thing ,0
Why oh why do I watch videos of people dying RIGHT BEFORE I'm going to sleep? ,0
why luke worral doesnt have twitter? ,0
@Dynoisthename haha you better watch those two. They might actually kill each other. ,0
twitter is a lot less interesting since cute people suddenly stopped flirting with me ,0
My stomach is feeling satisfied now......been starving for 2 hours. ,0
is very disappointed. ,0
"I nearly spoiled myself for House, did just a teeny bit, saw a name, but then it went away via link.  I won't be terribly surprised now.  ",0
@marlonjenglish ,0
@kittCAT8 ya i was basically screwed. just rewrote it  i will seriously go with you if you want! i dont know anyone else who wants to goo!,0
@LRon_Jaii LMAOOO mornin baybeeee. Don't lie?! A peaceful journey?! My train is straight boring  not even a hooded teef in sight.,0
I wish I had someone to talk to. I'm so upset.  no one likes me anyway,0
@Willie_Day26 hommmmeeworrkkk  boooo hope you fellas had a good night,0
@Japh I wish I'd known that there were more tickets earlier. Rang this arvo - one left but Amy would end up sitting alone. Sigh  Too Hard.,0
"woke up to find this cold/flu/illness-type thing isn't going without a fight and, apparently, beats you up in your sleep. Sorry, keynote ",0
